ProductID,Product Category,Description,Brand,Approx. Price (USD)
PROD406,Solid State Drive (SSD),2TB NVMe Gen3 SSD,Western Digital,199
PROD407,Wireless Mouse,Wireless trackpad,Apple,129
PROD408,Wireless Keyboard,Foldable Bluetooth keyboard for tablets,iClever,39
PROD409,Webcam,1080p webcam with privacy shutter,HP,59
PROD410,Router,Wi-Fi 6 extender,Netgear,99
PROD411,Smart Lighting,Smart LED strip with music sync,Govee,49
PROD412,Smart Thermostat,Wi-Fi thermostat with remote sensors,ecobee,299
PROD413,Security Camera,Outdoor PTZ camera with wired connection,Lorex,199
PROD414,Drone,Racing drone frame kit (DIY),iFlight,79
PROD415,Projector,Ultra short-throw projector for gaming,BenQ,1299
PROD416,Car Dash Cam,Rear-view mirror integrated dash cam,Wolfbox,149
PROD417,GPS Navigation,Marine handheld GPS,Garmin,349
PROD418,Portable Power Bank,Credit card-sized portable charger,Xiaomi,29
PROD419,USB Hub,7-port USB 3.0 hub with power adapter,Anker,49
PROD420,Surge Protector,Rotating outlet surge protector,360 Electrical,39
PROD421,Smartphone,Budget smartphone with large display,Alcatel,99
PROD422,Smartphone,Smartphone with stylus pen,Motorola,349
PROD423,Wireless Headphones,Wireless earbuds with charging case,JBL,99
PROD424,True Wireless Earbuds,Open-fit wireless earbuds,Huawei,129
PROD425,Smartwatch,Analog smartwatch with hidden display,Withings,199
PROD426,Laptop,17-inch budget gaming laptop,Lenovo,799
PROD427,Tablet,8-inch Fire HD tablet with Kids Edition,Amazon,139
PROD428,Smart Speaker,Portable Bluetooth smart speaker,Sonos,179
PROD429,4K Smart TV,50-inch Roku Smart TV,TCL,399
PROD430,Portable Bluetooth Speaker,Mini waterproof speaker with suction cup,Altec Lansing,39
PROD431,E-reader,E-reader with audiobook support,Kobo,179
PROD432,Digital Camera,Superzoom bridge camera,Nikon,399
PROD433,Gaming Console,Used gaming console (various models),GameStop,Varies
PROD434,Fitness Tracker,Chest strap heart rate monitor,Polar,69
PROD435,External Hard Drive,8TB portable external drive,WD Black,179
PROD436,Solid State Drive (SSD),2TB NVMe Gen4 budget SSD,Kingston,179
PROD437,Wireless Mouse,Gaming mouse with wired/wireless option,Corsair,89
PROD438,Wireless Keyboard,Ergonomic wireless split keyboard,Kinesis,299
PROD439,Webcam,1080p webcam with auto low light correction,Razer,79
PROD440,Router,Wi-Fi 5 extender with Ethernet port,TP-Link,49
PROD441,Smart Lighting,Smart LED light bar for monitor backlight,Govee,59
PROD442,Smart Thermostat,Smart fan controller,Caseta by Lutron,79
PROD443,Security Camera,Hidden spy camera,SIRGAWAIN,49
PROD444,Drone,Drone with obstacle avoidance,Autel Robotics,799
PROD445,Projector,1080p home theater projector,BenQ,699
PROD446,Car Dash Cam,Discreet mini dash cam,Blueskysea,79
PROD447,GPS Navigation,Smart rearview mirror with GPS,AUTO-VOX,199
PROD448,Portable Power Bank,High-capacity USB-C power bank,RAVPower,59
PROD449,USB Hub,10-port USB 3.0 hub with charging,Plugable,69
PROD450,Surge Protector,Power strip with individual switches,CyberPower,49
PROD451,Smartphone,Durable flip phone with basic smart features,Kyocera,299
PROD452,Smartphone,Unlocked mid-range smartphone,OnePlus,499
PROD453,Wireless Headphones,Retro-style wireless headphones,Marshall,199
PROD454,True Wireless Earbuds,Wireless earbuds with active noise reduction,Huawei,149
PROD455,Smartwatch,Solar-powered tactical smartwatch,Garmin,599
PROD456,Laptop,15-inch touchscreen laptop,HP Envy,999
PROD457,Tablet,10-inch rugged outdoor tablet,Samsung,699
PROD458,Smart Speaker,Smart speaker with built-in Zigbee hub,Amazon Echo,99
PROD459,4K Smart TV,65-inch Roku QLED Smart TV,TCL,799
PROD460,Portable Bluetooth Speaker,Floating waterproof Bluetooth speaker,Altec Lansing,99
PROD461,E-reader,E-reader with large storage for manga,Onyx Boox,449
PROD462,Digital Camera,Underwater digital camera,Sealife,349
PROD463,Gaming Console,Portable retro handheld console,Anbernic,149
PROD464,Fitness Tracker,Clip-on fitness tracker,Misfit,29
PROD465,External Hard Drive,5TB portable game drive,Seagate,119
PROD466,Solid State Drive (SSD),1TB portable SSD,Samsung,149
PROD467,Wireless Mouse,Slim wireless travel mouse,Microsoft,39
PROD468,Wireless Keyboard,Wireless numeric keypad,Logitech,29
PROD469,Webcam,4K webcam with wide field of view,Anker,129
PROD470,Router,Wi-Fi 6 mesh system (2-pack),TP-Link,199
PROD471,Smart Lighting,Smart plug with energy monitoring,TP-Link Kasa,19
PROD472,Smart Thermostat,Smart vent controller,Keen Home,99
PROD473,Security Camera,Bird feeder camera with AI detection,Bird Buddy,249
PROD474,Drone,Waterproof drone,Swellpro,1499
PROD475,Projector,Ceiling-mounted home theater projector,Optoma,799
PROD476,Car Dash Cam,Wireless battery-powered dash cam,Logitech,199
PROD477,GPS Navigation,Bike GPS computer,Garmin,249
PROD478,Portable Power Bank,Mini lipstick-sized portable charger,Aukey,19
PROD479,USB Hub,USB-C to Ethernet adapter with USB ports,Anker,34
PROD480,Surge Protector,Under-desk power strip with surge protection,AmazonBasics,29
PROD481,Smartphone,Push-to-talk rugged smartphone,Sonim,499
PROD482,Smartphone,Unlocked budget Android phone,Nokia,149
PROD483,Wireless Headphones,Wireless neckband headphones,Sony,99
PROD484,True Wireless Earbuds,Wireless earbuds with UV cleaning case,Cleer,149
PROD485,Smartwatch,Fashion smartwatch with AMOLED display,Huawei,199
PROD486,Laptop,17-inch workstation laptop,Dell Precision,2999
PROD487,Tablet,10-inch Chrome OS tablet,Lenovo,329
PROD488,Smart Speaker,Smart speaker with built-in air quality sensor,Amazon Echo,129
PROD489,4K Smart TV,70-inch Vizio Smart TV,Vizio,699
PROD490,Portable Bluetooth Speaker,Solar-powered Bluetooth speaker, Eton,99
PROD491,E-reader,E-reader with large buttons for easy use,Tolino,139
PROD492,Digital Camera,Instant camera with printer,Fujifilm Instax,99
PROD493,Gaming Console,Streaming device for cloud gaming,Nvidia Shield,199
PROD494,Fitness Tracker,Smart scale with Wi-Fi connectivity,Eufy,69
PROD495,External Hard Drive,14TB desktop external drive,Toshiba,279
PROD496,Solid State Drive (SSD),2TB portable NVMe SSD,Crucial,249
PROD497,Wireless Mouse,Ergonomic vertical wireless trackball mouse,Kensington,79
PROD498,Wireless Keyboard,Wireless keyboard with number pad,Logitech,59
PROD499,Webcam,Wireless security camera that works as a webcam,Blink,79
PROD500,Router,Portable travel router,GL.iNet,59
